customer_id,signup_date,country,revenue ,score,email,notes,plan,age,last_login ,channel,is_active
CUST-000184-7378,2024-03-27,PL,2851.33,62.3,,expansion opportunity,pro,24,2025-02-10 13:23:00,organic,false
CUST-000185-7520,27/02/2024,DE,1676.12,63.7,,champion in finance team,trial,45,2024-09-28 08:28:00,paid,true
CUST-000186-8728,2023-05-20,PL,4051.27,68.3,,needs onboarding call,enterprise,36,2024-05-10 08:30:00,paid,true
CUST-000187-7395,03/03/2023,DE,4974.26,73.8,,champion in finance team,free,69,2023-12-21 08:08:00,paid,true
CUST-000188-3185,2024-07-29,PL,4496.39,51.3,piotr188@mail.test,high-value lead,trial,53,2025-02-16 12:22:00,paid,true
CUST-000189-9614,26/08/2023,DE,3691.41,71.6,,expansion opportunity,free,43,2024-02-16 07:32:00,organic,true
CUST-000190-2269,11/10/2024,UA,919.98,74.0,,expansion opportunity,pro,71,2024-12-03 04:06:00,referral,true
CUST-000191-2092,14/11/2024,UA,4346.23,83.4,alex191@biz.dev,renewal at risk,enterprise,67,2025-09-28 07:27:00,organic,true
CUST-000192-2393,"Dec 26, 2024",PL,2454.24,71.2,tom192@biz.dev,high-value lead,free,26,2026-03-06 18:14:00,social,true
CUST-000193-3093,26/01/2023,US,4948.10,71.9,piotr193@biz.dev,champion in finance team,free,65,2023-12-31 08:13:00,referral,false
CUST-000194-1144,01/10/2023,PL,1392.47,67.1,anna194@biz.dev,follow up next quarter,pro,19,2024-03-09 23:57:00,paid,true
CUST-000195-8577,"Apr 01, 2023",DE,1982.77,70.1,ivan195@corp.io,renewal at risk,pro,75,2024-04-14 17:30:00,social,true
CUST-000196-8007,2023-11-28,PL,562.40,77.7,,follow up next quarter,enterprise,61,2024-05-29 07:33:00,organic,true
CUST-000197-8633,"Oct 03, 2024",UA,2619.84,83.5,,follow up next quarter,pro,59,2025-10-21 19:22:00,organic,true
CUST-000198-9465,2023-02-15,US,4644.91,69.9,,needs onboarding call,enterprise,27,2024-09-21 11:35:00,email,true
CUST-000199-6698,31/12/2023,DE,630.99,52.8,,needs onboarding call,free,40,2024-01-15 13:55:00,social,true
CUST-000200-6895,"Mar 13, 2024",DE,3968.53,76.2,,champion in finance team,trial,55,2024-11-07 14:11:00,organic,true
CUST-000201-7339,2023-12-08,DE,2709.09,84.3,,high-value lead,enterprise,59,2024-05-12 13:08:00,paid,false
CUST-000202-8293,"Jun 08, 2023",DE,1206.21,78.6,,champion in finance team,free,26,2024-02-06 23:13:00,organic,false
CUST-000203-1656,"Nov 04, 2024",DE,2879.07,68.1,,needs onboarding call,free,62,2025-09-27 20:35:00,organic,true
CUST-000204-1304,"Aug 10, 2024",DE,2034.29,69.2,,follow up next quarter,pro,56,2024-10-04 05:19:00,email,true
CUST-000205-1094,01/06/2024,DE,85.14,81.3,maria205@mail.test,high-value lead,trial,44,2025-04-30 06:51:00,organic,false
CUST-000206-9938,2023-02-21,UA,3586.23,66.8,,needs onboarding call,free,45,2023-10-17 09:05:00,referral,false
CUST-000207-1295,2024-02-05,DE,485.80,68.2,tom207@corp.io,renewal at risk,pro,20,2024-10-03 21:13:00,email,true
CUST-000208-1590,2023-06-11,UA,N/A,78.1,,renewal at risk,enterprise,33,2024-09-09 23:12:00,social,true
CUST-000209-5039,"Jul 29, 2023",UA,4580.89,63.3,maria209@example.com,champion in finance team,pro,25,2024-05-11 22:50:00,referral,false
CUST-000210-6746,2024-08-03,PL,2476.00,59.7,alex210@biz.dev,expansion opportunity,free,63,2024-08-06 03:10:00,social,true
CUST-000211-5449,04/07/2023,PL,237.89,77.2,,high-value lead,free,58,2024-05-03 15:07:00,organic,true
CUST-000212-3025,20/03/2024,PL,643.46,64.1,,follow up next quarter,free,21,2025-01-27 11:51:00,referral,true
CUST-000213-9868,08/03/2023,UA,61.80,77.9,maria213@mail.test,follow up next quarter,trial,31,2023-03-10 03:17:00,paid,false
CUST-000214-2609,2024-09-01,US,3857.53,83.3,,follow up next quarter,enterprise,71,2025-07-03 21:11:00,organic,true
CUST-000215-1975,"Jun 28, 2023",US,1312.51,68.3,,needs onboarding call,enterprise,44,2024-01-18 19:35:00,paid,true
CUST-000216-6269,03/06/2024,US,364.25,78.8,,renewal at risk,free,67,2025-07-20 08:04:00,email,true
CUST-000217-3656,2023-08-03,DE,2718.09,69.8,,needs onboarding call,free,41,2024-01-10 07:40:00,referral,true
CUST-000218-9685,05/05/2024,DE,918.29,65.3,,expansion opportunity,pro,41,2025-10-31 13:16:00,email,false
CUST-000219-5875,2024-01-26,UA,3128.69,57.8,,expansion opportunity,enterprise,49,2024-08-02 12:40:00,referral,false
